feature_added	aupr	delta_aupr	delta_aupr_low	delta_aupr_high	pval_aupr	precision	delta_precision	delta_precision_low	delta_precision_high	pval_precision
None	0.0	0	0	0	1	0.0	0	0	0	1
ABC.Score	0.5270787334282666	0.5260456510543231	0.46811859660905714	0.5771910449736843	0.0	0.4688090989844153	0.46900758560640066	0.42847583708972625	0.5090587708330637	0.0
Kendall	0.589308908890582	0.06258479351825498	0.043727776914929725	0.08388353946709143	0.0	0.5332609957000749	0.06409326889181165	0.04061369393920939	0.08646603030945316	0.0
numTSSEnhGene	0.6274538845836094	0.040472938244096056	0.027790642643618964	0.05367943347656566	0.0	0.5672503348211372	0.03374722256160394	0.00893461835349315	0.05752350135931524	0.002
ubiqExpressed	0.6596704591399342	0.03342146666570939	0.017301470066450338	0.04945869940590154	0.0	0.5974812977964177	0.03143209676727183	0.008293958903992768	0.054294003931205446	0.007
normalizedATAC_prom	0.6701914969207374	0.00914111440477347	0.0022513877094093044	0.020219819705529513	0.039	0.6096507874637569	0.011473941165696366	-0.0031177510451928588	0.02783306826735006	0.146
numNearbyEnhancers	0.6736019431254203	0.001974955633966879	-0.0038899687834683173	0.008898812239833331	0.52	0.6000967131095415	-0.008122947455850701	-0.025981807089083344	0.0071638611193298	0.348
numCandidateEnhGene	0.6733371780777706	0.0011672328027083555	-0.00372745882117023	0.00627417508236604	0.642	0.5918520122878588	-0.009266336464837686	-0.021704673449579492	0.0035153333332201488	0.173
powerlawContact	0.6727602831330897	-0.0019256386311202278	-0.004038297679353507	-0.00028222817074006936	0.038	0.6002670441422863	0.008167743759499075	0.000994212961554805	0.016420891493688194	0.04
distanceToTSS	0.6682669633588931	-0.002504525562823076	-0.00484770980672969	-0.0011190874207245233	0.009	0.5945510718676689	-0.006109763316383491	-0.011855457924200815	0.0016417612962624135	0.071
sumNearbyEnhancers	0.6662106008938572	-0.0036151539681665984	-0.00806894047468908	0.000850537866054881	0.107	0.5902639472896014	-0.004576139212095086	-0.018484620537405093	0.005800883475133279	0.455
normalizedATAC_enh	0.6622312821956918	-0.0031642825208330156	-0.005379645404252455	-0.0008738959064368389	0.008	0.584150359516329	-0.004972473901556013	-0.01253558254097181	0.00371627871527651	0.234
